Temp,Dew point,wind_bearing,wind_speed,pressure,wind_gust,Electic_production, beer production,Alcohol sales, min temp,air passengers,avg. temp newyork,Delhi meantemp,Delhi humid.,Delhi windspeed,Delhi pressure
26,22.01,101,3.08,1008.45,6.42,72.5052,93.2,3459,20.7,112,38,10,84.5,0,1015.666667
25,22.06,105,2.94,1008.24,6.28,70.672,96,3458,17.9,118,36,7.4,92,2.98,1017.8
25,22.06,106,2.82,1007.9,6.08,62.4502,95.2,4002,18.8,132,40,7.166666667,87,4.633333333,1018.666667
24,21.87,106,2.63,1007.61,5.74,57.4714,77.1,4564,14.6,129,25,8.666666667,71.33333333,1.233333333,1017.166667
23,21.53,100,2.39,1007.51,5.3,55.3151,70.9,4221,15.8,121,20,6,86.83333333,3.7,1016.5
23,21.56,94,2.09,1008.03,4.47,58.0904,64.8,4529,15.8,135,33,7,82.8,1.48,1018
24,21.97,95,2.31,1008.61,4.07,62.6202,70.1,4466,15.8,148,38.5,7,78.6,6.3,1020
25,22.34,96,2.98,1008.97,4.65,63.2485,77.3,4137,17.4,148,38.5,8.857142857,63.71428571,7.142857143,1018.714286
25,22.35,99,3.44,1009.53,5.14,60.5846,79.5,4126,21.8,136,43.5,14,51.25,12.5,1017
27,22.21,102,3.49,1010,4.77,56.3154,100.6,4259,20,119,49.5,11,62,7.4,1015.666667
28,22.12,101,2.92,1009.99,3.52,58.0005,100.7,4240,16.2,104,33,15.71428571,51.28571429,10.57142857,1016.142857
30,21.71,91,2.21,1009.86,2.32,68.7145,107.1,4936,13.3,118,34.5,14,74,13.22857143,1015.571429
31,21.1,77,1.9,1009.39,1.9,73.3057,95.9,3031,16.7,115,26,15.83333333,75.16666667,4.633333333,1013.333333
32,20.52,60,2.03,1008.35,2.03,67.9869,82.8,3261,21.5,126,30,12.83333333,88.16666667,0.616666667,1015.166667
33,19.91,44,2.39,1007.24,2.4,62.2221,83.3,4160,25,141,42.5,14.71428571,71.85714286,0.528571429,1015.857143
33,19.46,36,2.77,1006.39,2.78,57.0329,80,4377,20.7,135,47,13.83333333,86.66666667,0,1016.666667
33,19.04,34,3.01,1006.08,3.01,55.8137,80.4,4307,20.6,125,36,16.5,80.83333333,5.25,1015.833333
33,18.88,38,3.04,1005.97,3.04,59.9005,67.5,4696,24.8,149,24.5,13.83333333,92.16666667,8.95,1014.5
32,19.81,42,2.96,1006.39,3.1,65.7655,75.7,4458,17.7,170,22,12.5,76.66666667,5.883333333,1021.666667
30,20.85,23,2.72,1007.49,3.73,64.4816,71.1,4457,15.5,170,32,11.28571429,75.28571429,8.471428571,1020.285714
28,21.04,4,2.48,1008.37,4.66,61.0005,89.3,4364,18.2,158,31,11.2,77,2.22,1021
27,21.31,19,2.61,1008.99,5.54,57.5322,101.1,4236,12.1,133,25.5,9.5,79.66666667,3.083333333,1021.8
27,21.66,47,3.03,1009.27,6.48,59.3417,105.2,4500,14.4,114,25.5,14,60.16666667,4.016666667,1020.5
26,21.85,69,3.28,1009.67,6.7,68.1354,114.1,4974,16,140,27.5,13.83333333,60.66666667,6.166666667,1020.5
26,20.53,85,3.13,1010.06,6.29,73.8152,96.3,3075,16.5,145,33.5,12.25,67,5.55,1020.75
26,20.9,96,2.7,1009.86,5.81,70.062,84.4,3377,18.7,150,43,12.66666667,64.16666667,6.8,1019.666667
25,20.79,116,2.22,1009.67,5.19,65.61,91.2,4443,19.4,178,40.5,12.85714286,65.57142857,5.557142857,1018.142857
25,20.56,122,1.86,1009.59,4.75,60.1586,81.9,4261,17.2,163,37,14.83333333,56,3.7,1017.833333
24,20.33,113,1.6,1009.63,4.56,58.8734,80.5,4460,15.5,172,35.5,14.125,65.5,3.2375,1016.625
23,20.24,105,1.26,1010.06,3.52,63.8918,70.4,4985,15.1,178,33.5,14.71428571,70.42857143,1.057142857,1017.857143
24,20.6,119,1.06,1010.52,2.44,68.8694,74.8,4324,15.4,199,46,16.2,65.6,2.96,1018.4
25,21.13,128,1.1,1010.91,2.28,70.0669,75.9,4719,15.3,199,51.5,16,73,2.22,1016
26,21.43,137,1.11,1011.65,2.17,64.1151,86.3,4374,18.8,184,44,16.28571429,77.57142857,1.328571429,1017.142857
27,21.71,154,1.1,1012.16,1.97,60.3789,98.7,4248,21.9,162,50.5,18,65.57142857,1.857142857,1015.285714
28,21.62,67,1.19,1012.18,1.66,62.4643,100.9,4784,19.9,146,51.5,17.42857143,74.28571429,11.11428571,1014.571429
29,21.19,6,1.59,1011.88,1.69,70.5777,113.8,4971,16.6,166,37.5,16.625,92.375,9.725,1016.375
30,20.75,10,2,1011.26,2,79.8703,89.8,3370,16.8,171,35,16.66666667,71.33333333,8.633333333,1018.666667
31,20.27,16,2.15,1010.36,2.15,76.1622,84.4,3484,14.6,180,40,15.6,59.4,10.74,1018.6
32,19.85,17,2.24,1009.28,2.51,70.2928,87.2,4269,17.1,193,33.5,14,70.42857143,9.257142857,1017.142857
33,19.64,15,2.33,1008.4,2.97,63.2384,85.6,3994,25,181,31.5,15.42857143,61.28571429,9.257142857,1016.857143
33,19.05,9,2.37,1007.83,3.22,61.4065,72,4715,15,183,35,15.25,71.5,3.475,1017.125
33,18.76,5,2.13,1007.88,2.95,67.1097,69.2,4974,13.7,218,24.5,15.875,70.5,5.325,1016.5
32,19.34,12,1.91,1008.26,2.99,72.9816,77.5,4223,13.9,230,21,15.33333333,70.33333333,7.416666667,1017.5
31,19.85,21,1.84,1008.47,4.02,75.7655,78.1,5000,18.3,242,14,16.28571429,70.14285714,6.085714286,1016
29,19.78,32,1.8,1008.76,5.07,67.5152,94.3,4235,22,209,7,17.33333333,63.83333333,4.333333333,1014.166667
28,20.03,53,1.9,1009.05,5.92,63.2832,97.7,4554,22.1,191,24,19.16666667,65.33333333,10.18333333,1011.666667
28,20.39,85,2.1,1009.11,6.63,65.1078,100.2,4851,21.2,172,44.5,14.42857143,92.71428571,8.485714286,1008
27,20.52,115,2.14,1009.13,6.68,73.8631,116.4,4826,18.4,194,37,13.66666667,90,0,1012.666667
26,20.54,136,2.06,1008.95,6.31,77.9188,97.1,3699,16.6,196,31.5,15.6,78.4,12.22,1016.2
26,20.82,142,2.04,1008.84,6.02,76.6822,93,3983,16.1,196,31.5,15.85714286,82,5.814285714,1015.714286
26,20.63,143,1.89,1008.9,5.58,73.3523,96,4262,15.7,236,50,17.71428571,74.71428571,5.814285714,1017
25,20.35,135,1.84,1008.88,5.13,65.1081,80.5,4619,16.6,235,49.5,20,67.28571429,6.614285714,1015.428571
24,20.04,121,1.88,1009.12,4.66,63.6892,76.1,5219,16.5,229,45,20.5,65.625,10.875,1016
24,19.98,109,2,1009.53,4.31,68.4722,69.9,4836,14.4,243,37.5,17.42857143,74.85714286,9.257142857,1017
25,20.25,99,1.88,1009.8,3.32,74.0301,73.6,4941,14.4,264,48,16.85714286,78.85714286,7.4,1018.857143
25,20.77,104,1.68,1010.45,2.58,75.0448,92.6,5062,18.5,272,49,16.875,72.875,4.6375,1018.25
26,21.2,121,1.8,1010.98,2.79,69.3053,94.2,4365,16.9,237,33,17.85714286,70,17.5875,1015.142857
28,21.28,129,1.73,1011.29,2.75,65.8735,93.5,5012,17.5,211,33.5,20.8,57.2,6.66,1015.2
30,20.75,126,1.84,1011.29,2.55,69.0706,108.5,4850,21.2,180,49,19.42857143,52.85714286,12.95714286,1017.428571
31,20.14,105,2.01,1011.25,2.55,84.1949,109.4,5097,17.8,201,54,17.33333333,49.33333333,24.06666667,1016.333333
31,19.59,88,1.71,1010.6,2.51,84.3598,105.1,3758,18.6,204,45.5,19,54,15.725,1016.25
33,18.89,44,1.54,1009.79,2.21,77.1726,92.5,3825,17,188,42,19.33333333,62.83333333,8.633333333,1016.166667
34,18.37,358,1.67,1009.11,2,73.1964,97.1,4454,16,235,31,17.6,71,5.56,1015.8
35,17.99,347,1.68,1008.39,1.95,67.2781,81.4,4635,13.3,227,34.5,20.875,61.875,4.1625,1016.375
34,17.15,344,1.79,1007.86,2.03,65.8218,79.1,5210,14.3,234,34.5,20.85714286,65.28571429,6.871428571,1015.714286
33,16.75,349,2.32,1007.77,2.46,71.4654,72.1,5057,11.4,264,38,23.42857143,57.14285714,8.728571429,1015.285714
31,17.98,25,2.79,1008.01,3.55,76.614,78.7,5231,16.3,302,48,24.16666667,44.83333333,7.1,1014.833333
30,19.22,68,2.87,1008.6,5.24,77.1052,87.1,5034,16.1,293,57,25.42857143,49.71428571,5.285714286,1009.285714
29,19.19,92,2.95,1009.05,6.91,73.061,91.4,4970,11.8,259,60.5,23.14285714,57.57142857,4.228571429,1008
28,19.37,115,3.12,1009.2,7.83,67.4365,109.9,5342,12.2,229,71,24,66.33333333,0.933333333,1011.166667
28,19.52,137,3.4,1009.66,8.17,68.5665,116.3,4831,14.7,203,58,23.5,62.5,4.933333333,1011.5
27,19.58,154,3.3,1010.29,6.93,77.6839,113,5965,11.8,229,49.5,21.5,70.5,5.55,1009
26,19.57,164,2.92,1010.36,5.84,86.0214,100,3796,11.3,242,56,22.33333333,61.16666667,12.03333333,1013.166667
26,19.62,171,2.57,1009.78,6.39,77.5573,84.8,4019,10.6,233,45.5,24.16666667,45.83333333,7.716666667,1016.166667
25,19.24,175,2.23,1009.25,6.84,73.365,94.3,4898,11.7,267,50.5,20.33333333,67.66666667,3.7,1016.166667
24,18.95,173,2.18,1009.12,6.77,67.15,87.1,5090,14.2,269,56.5,22.66666667,58.66666667,8.95,1015
24,18.84,164,2.43,1009.41,6.27,68.8162,90.3,5237,11.2,270,54,23.42857143,58.14285714,17.45714286,1009.428571
24,18.84,155,2.58,1010.07,5.18,74.8448,72.4,5447,16.9,315,49.5,22.5,73.66666667,10.48333333,1011
24,18.88,139,2.48,1011.08,3.89,80.0928,84.9,5435,16.7,364,41,29.16666667,36.33333333,6.8,1009.5
25,19.14,96,2.24,1012.01,2.84,79.1606,92.7,5107,8.1,347,37.5,23.83333333,58.5,10.5,1008.333333
25,19.5,40,2.02,1012.47,2.13,73.5743,92.2,5515,8,312,41,25.25,50.25,9.7125,1006.375
27,19.58,5,2.09,1012.62,2.09,68.7538,114.9,5583,8.8,274,45.5,27.375,50.125,9.95,1007.625
28,19.26,356,2.41,1012.41,2.41,72.5166,112.5,5346,13.4,237,59.5,27,48.75,10.8875,1010.25
30,18.86,7,2.97,1012.23,3.01,79.4894,118.3,6286,10.9,278,49.5,23.5,45.5,15.9625,1010.625
31,18.46,14,3.39,1011.79,3.44,85.2855,106,4032,13.4,284,58,24.14285714,44.57142857,12.95714286,1008.857143
32,17.91,11,3.46,1010.62,3.46,80.1643,91.2,4435,11,277,46.5,21,62,1.85,1009
33,17.31,8,3.45,1009.51,3.45,74.5275,96.6,5479,15,317,49,22.42857143,62.71428571,7.414285714,1009.571429
33,16.77,6,3.42,1008.79,3.42,69.6441,96.3,5483,15.7,313,52,21.25,70.375,5.55,1009.75
34,15.85,4,3.37,1008.42,3.37,67.1784,88.2,5587,14.5,318,46.5,23.5,54.75,11.1125,1008.625
33,15.71,6,3.22,1008.57,3.22,71.2078,70.2,6176,15.8,374,46.5,23.2,58,6.66,1008.6
31,17.4,20,3.01,1009.45,3.01,77.5081,86.5,5621,16.7,413,61,25.375,45.5,4.4,1008.5
28,18.51,31,2.62,1010.06,2.65,76.5374,88.2,5889,16.8,405,70,25.16666667,51,8.65,1009.5
28,18.08,31,2.15,1010.19,2.43,72.3541,102.8,5828,17.5,355,55,26.2,45.6,8.14,1009
27,18.13,39,1.85,1010.31,2.48,69.0286,119.1,5849,17.1,306,42,24.6,41.8,11.12,1007.8
27,18.41,55,1.7,1010.37,2.48,73.4992,119.2,6180,18.1,271,37,25.6,31,15.56,1007
26,18.5,54,1.56,1010.44,2.32,84.5159,125.1,6771,16.6,306,34.5,25.85714286,29.85714286,11.9,1006.142857
25,20.14,36,1.37,1010.4,2.16,87.9464,106.1,4243,10,315,39,29.14285714,23.28571429,10.31428571,1005
25,19.98,19,1.13,1009.76,2.11,84.5561,102.1,4952,14.9,301,53,28.71428571,33.85714286,5.3,1006
24,19.68,3,0.95,1009.3,2.08,79.4747,105.2,6008,15.9,356,45,30.16666667,30.5,8.65,1005.333333
23,19.3,3,0.94,1009.29,2.04,71.0578,101,5353,13,348,39.5,30,28,6.1,1006.714286
22,18.7,13,1.09,1009.88,1.99,67.6762,84.3,6435,7.6,355,40.5,30,24.2,7.78,1006.4
22,18.44,24,1.31,1010.57,1.93,74.3297,87.5,6673,11.5,422,54,28.85714286,32.57142857,6.342857143,1007.571429
23,18.84,13,1.52,1011.27,2.28,82.1048,92.7,5636,13.5,465,52,30.2,29.2,10,1008.4
24,19.07,4,1.58,1012.07,2.66,82.0605,94.4,6630,13,467,49,28.25,39.375,6.4875,1007
24,18.85,10,1.56,1012.49,2.68,74.6031,113,5887,13.3,404,52.5,28.25,41.375,6.25,1003.875
26,18.55,5,1.71,1012.67,2.67,69.681,113.9,6322,12.1,347,53.5,32.125,24.625,10.425,1000
28,18.16,351,2.09,1012.5,2.58,74.4292,122.9,6520,12.4,305,55.5,29.2,24.2,6.66,1002.2
30,17.68,341,2.56,1012.49,2.64,84.2284,132.7,6678,13.2,336,59.5,30.28571429,30.28571429,4.757142857,1002.857143
31,17.21,337,2.91,1012.06,2.91,94.1386,106.9,5082,13.8,340,66.5,28.28571429,31.28571429,3.971428571,1002.571429
32,16.88,333,3.12,1011.08,3.28,87.1607,96.6,5216,10.6,318,64,30.625,29,7.6375,1003.375
33,16.61,330,3.27,1010.04,3.8,79.2456,127.3,5893,9,362,59,27.66666667,38.66666667,13.88333333,1006.833333
34,16.23,333,3.35,1009.23,4.02,70.9749,98.2,5894,10,348,61,27.375,45.375,7.65,1010
34,15.45,341,3.42,1008.77,3.86,69.3844,100.2,6799,9.8,363,70.5,28.625,44.125,4.625,1009.875
33,16.16,352,2.82,1009.18,3.29,77.9831,89.4,6667,11.5,435,62.5,30.28571429,41.71428571,2.114285714,1008.571429
32,17.29,358,2.06,1009.96,2.66,83.277,95.3,6374,8.9,491,57.5,31.14285714,38.28571429,3.7,1007.714286
30,17.5,352,1.78,1010.27,2.28,81.8872,104.2,6840,7.4,505,59.5,29.875,45.875,6.7125,1008.375
28,17.72,347,1.56,1010.6,1.98,75.6826,106.4,5575,9.9,404,53.5,31.14285714,31.42857143,13.48571429,1007
27,17.95,356,1.63,1010.78,2.06,71.2661,116.2,6545,9.3,359,54,30.57142857,28,12.97142857,1005.428571
26,18.32,19,2.02,1010.89,2.59,75.2458,135.9,6789,9.9,310,53.5,32.125,26.375,7.875,1004.875
26,18.76,35,2.2,1011.16,2.61,84.8147,134,7180,7.4,337,51.5,31.14285714,32,7.928571429,1004.857143
25,19.11,40,2.02,1011.12,2.24,92.4532,104.6,5117,8.6,360,55.5,31.85714286,15.85714286,12.68571429,1002.833333
24,19.16,37,1.72,1011.04,2.11,87.4033,107.1,5442,11.9,342,48,29.83333333,22.16666667,11.43333333,1001.2
23,19.01,37,1.35,1010.9,1.92,81.2661,123.5,6337,14,406,52.5,28.57142857,31.57142857,9,999.4285714
23,18.64,62,1.1,1010.72,1.79,73.8167,98.8,6525,8.6,396,53.5,32.85714286,31.42857143,2.914285714,999
22,18.1,107,0.96,1010.55,1.69,73.2682,98.6,7216,10,420,50,32.625,31.125,3.0125,1000.625
22,17.63,148,0.88,1010.51,1.64,78.3026,90.6,6761,13.5,472,51.5,32.75,39.25,3.7,1001.625
23,18.1,87,0.82,1011.13,1.17,85.9841,89.1,6958,12,548,51,32.875,33.25,7.175,1002
24,18.71,82,0.84,1011.85,0.84,89.5467,105.2,7070,10.5,559,54,34.5,23,9.25,1001.166667
25,18.51,239,0.95,1012.34,1.04,78.5035,114,6148,10.7,463,57.5,34.28571429,26,8.985714286,1000.857143
27,17.99,223,1.15,1012.58,1.47,73.7066,122.1,6924,8.1,407,62,34,27.71428571,9.528571429,1000.142857
29,17.14,83,1.46,1012.54,1.99,79.6543,138,6716,10.1,362,56.5,30.75,30.375,14.8125,999.875
31,16.32,359,1.78,1012.34,2.33,90.8251,142.2,7975,10.6,405,63,29.85714286,40.14285714,5.828571429,1003.714286
32,15.7,318,2.04,1011.76,2.36,98.9732,116.4,5326,5.3,417,68,31.71428571,34,3.971428571,1003.571429
33,15.04,311,2.28,1010.71,2.36,92.8883,112.6,5609,6.6,391,61,32.28571429,34.28571429,4.771428571,1001.571429
33,14.42,315,2.51,1009.72,2.51,86.9356,123.8,6414,8.5,419,64.5,33,33,3.2375,999.8571429
33,14.15,317,2.76,1009.1,2.76,77.2214,103.6,6741,11.2,461,52.5,33,34.75,7.175,998.5
34,14.14,319,3.03,1008.87,3.03,76.6826,113.9,7144,9.8,472,54.5,32.83333333,28.16666667,9.866666667,1000.333333
33,14.47,323,3.19,1008.58,3.19,81.9306,98.6,7133,5.9,535,58,31.4,42.2,12.96666667,999
32,15.89,341,3.03,1009.22,3.03,85.9606,95,7568,3.2,622,60,35.33333333,22.33333333,15.75,999.6666667
30,17.38,7,2.71,1010.84,2.72,86.5562,116,7266,2.1,606,63.5,36.4,24.2,7.4,998.4
28,17.42,19,2.54,1011.49,2.87,79.1919,113.9,6634,3.4,508,64.5,36,19,11.37142857,998.6666667
27,17.64,23,2.77,1011.75,3.97,74.6891,127.5,7626,5.4,461,60,36.75,22.125,17.5875,998.625
26,18.01,16,3.43,1011.56,5.88,81.074,131.4,6843,9.6,390,61,37.5,23.33333333,13.56666667,997.1666667
26,18.4,7,4,1011.16,7.51,90.4855,145.9,8540,11.5,432,67,38.42857143,27.42857143,11.38571429,996.4285714
